Neighborhood,area,population,avg household size,avg number of cars apts,avg number of cars houses,males,med age females,med age males,med household income,med rent,pct born in another us state,pct born in state,pct families with children,pct family household,pct foreign born residents,pct married couple,pct native residents born outside us,pct never married females > 15,pct never married males > 15,pct not speak English well,pct single mother,pct units mortgage,Park,Pool,Trail,Pizza Place,Convenience Store,cluster,map_cluster,avg number of cars
"Lake Forest, Raleigh, NC",0.1,270,2.5,1.3,2.1,128.0,32.6,30.9,34719.0,693.0,30.5,43.2,23.8,60.2,25.0,40.0,1.3,17.8,17.6,8.2,11.1,84.7,0.0,0.0,0.0,0.0,0.0,5,,1.3
"Lake Johnson Harbour, Raleigh, NC",0.024,41,2.8,1.8,2.0,21.0,32.1,28.8,72538.0,777.0,37.0,39.4,23.1,47.3,21.8,52.3,1.8,14.1,23.6,2.6,8.7,75.5,0.0,0.3333333333333333,0.0,0.0,0.0,15,6.0,1.8
"Lakemont, Raleigh, NC",0.32799999999999996,1084,2.3,1.8,1.8,557.0,41.1,37.8,69576.0,1224.0,46.2,49.2,35.7,48.7,2.8,58.2,1.8,10.0,14.4,0.2,4.1,73.5,0.0,0.5,0.0,0.0,0.0,15,6.0,1.8
"Lakestone, Raleigh, NC",0.136,162,2.5,1.6,2.2,77.0,52.5,55.5,143687.0,1524.0,30.1,65.8,36.5,41.5,3.4,65.1,0.6,12.6,13.3,0.0,5.4,56.7,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,1,1.0,1.6
"Lakewood, Raleigh, NC",0.10099999999999999,409,3.0,1.3,2.3,147.0,28.6,38.9,33155.0,644.0,25.3,67.5,17.2,56.2,6.7,25.7,0.5,37.2,21.1,2.7,12.0,78.2,0.0,0.0,0.0,0.0,0.0,5,,1.3
"Lambshire Downs, Raleigh, NC",0.057,154,2.6,1.6,2.1,69.0,44.8,48.3,120583.0,853.0,52.6,40.0,37.5,62.3,6.6,77.1,0.7,7.1,6.0,0.0,0.8,78.7,0.0,0.0,0.0,0.0,0.0,6,8.0,1.6
"Landfall North, Raleigh, NC",0.013999999999999999,12,2.6,1.2,2.1,5.0,42.3,44.4,110083.0,1031.0,53.2,39.1,34.2,57.3,7.3,68.1,0.5,7.6,6.4,0.0,5.4,78.6,0.0,0.5,0.0,0.0,0.0,14,16.0,1.2
"Lassiter, Raleigh, NC",0.016,12,2.9,2.9,2.4,5.0,61.3,64.9,168014.0,1783.0,31.4,63.9,39.4,44.6,3.3,69.9,1.4,11.4,9.4,0.0,5.7,59.7,0.2,0.0,0.2,0.0,0.0,12,5.0,2.9
"Laurel Hills, Raleigh, NC",0.276,772,9.9,1.5,2.2,363.0,42.8,43.1,115631.0,1207.0,46.2,42.9,34.9,47.5,10.3,54.1,0.6,14.4,15.5,1.0,3.1,66.8,0.0,0.0,1.0,0.0,0.0,14,16.0,1.5
"Laurel Woods Townhomes, Raleigh, NC",0.039,109,2.3,1.5,2.2,51.0,39.0,41.1,123293.0,1207.0,46.3,42.9,35.0,47.5,10.3,54.1,0.6,14.4,15.5,0.0,3.1,66.9,0.3333333333333333,0.0,0.0,0.0,0.0,6,8.0,1.5
"Leesville Road, Raleigh, NC",0.02,18,2.6,1.2,2.1,7.0,42.3,44.4,110083.0,1031.0,53.2,39.1,33.3,57.3,7.3,68.1,0.5,7.6,6.4,0.0,5.3,78.6,0.0,0.0,0.0,0.0,0.0,14,16.0,1.2
"Leonard Place, Raleigh, NC",0.004,13,2.6,1.7,2.1,6.0,44.3,37.0,94000.0,745.0,39.7,52.0,38.2,50.0,7.1,59.7,1.1,12.5,18.4,0.0,1.2,59.7,0.0,0.0,0.0,0.125,0.0,2,7.0,1.7
"Lincoln Terrace, Raleigh, NC",0.016,174,2.3,0.9,1.7,74.0,50.7,39.2,41903.0,621.0,28.8,64.2,29.0,32.1,6.4,30.8,0.5,15.2,19.5,1.7,15.0,75.5,0.2,0.0,0.0,0.0,0.0,8,15.0,0.9
"Lincoln Villas, Raleigh, NC",0.017,24,2.5,1.8,2.2,13.0,37.5,32.9,74803.0,928.0,34.4,38.8,40.4,63.2,26.8,60.8,0.0,8.8,17.3,9.5,20.1,90.6,0.0,0.0,0.0,0.0,0.0,4,13.0,1.8
"Lions Way, Raleigh, NC",0.01,33,2.1,1.1,1.4,14.0,31.8,34.6,44079.0,671.0,37.6,55.3,21.5,50.3,5.9,27.1,1.2,22.6,16.0,0.0,25.8,79.0,0.1,0.0,0.0,0.1,0.0,8,15.0,1.1
"Lisbon Woods, Raleigh, NC",0.021,40,2.6,1.3,2.0,20.0,41.8,38.3,48750.0,651.0,23.9,53.7,15.0,42.1,19.3,41.8,3.1,19.8,17.7,5.3,1.2,73.9,0.0,0.0,0.0,0.0,0.0,9,17.0,1.3
"Little Lake Hill, Raleigh, NC",0.006,17,2.6,1.7,2.1,9.0,44.3,37.0,94000.0,745.0,39.7,52.0,39.8,50.0,7.1,59.7,1.1,12.5,18.4,0.0,1.2,59.7,0.0,0.0,0.0,0.0,0.0,2,7.0,1.7
"Lockwood, Raleigh, NC",0.35,947,2.3,1.5,1.7,433.0,35.3,36.7,47130.0,795.0,25.3,67.5,25.3,37.3,6.7,30.5,0.5,27.9,16.9,3.3,18.2,61.6,0.0,0.0,0.0,0.0,1.0,8,15.0,1.5
"Longview, Raleigh, NC",0.368,688,3.3,1.3,2.0,263.0,35.1,41.3,40114.0,839.0,25.3,67.4,15.7,48.5,6.7,27.8,0.5,36.0,20.2,1.7,16.6,77.1,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,8,15.0,1.3
"Lowden Street, Raleigh, NC",0.003,14,2.5,1.7,2.0,7.0,38.0,40.3,103438.0,798.0,38.1,56.9,41.9,61.5,3.8,69.1,1.2,10.6,10.9,0.0,3.7,89.1,0.25,0.25,0.0,0.0,0.0,11,14.0,1.7
"Lyndhurst Manor, Raleigh, NC",0.018000000000000002,7,2.2,4.1,1.7,4.0,52.4,41.7,49125.0,678.0,22.5,66.1,44.4,32.8,10.7,38.4,0.8,13.2,25.1,0.0,71.8,85.3,0.0,0.0,0.0,0.1111111111111111,0.0,9,17.0,4.1
"Lynn Road, Raleigh, NC",0.003,8,2.1,1.2,2.3,4.0,41.7,43.2,70521.0,843.0,46.2,43.3,38.1,40.0,10.1,40.6,0.4,14.9,10.0,0.0,14.6,69.9,0.0,0.0,0.0,0.0,0.0,15,6.0,1.2
"Lyon Park, Raleigh, NC",0.03,58,1.8,1.1,2.0,28.0,55.6,49.1,77708.0,789.0,38.2,56.0,48.4,23.1,5.5,40.9,0.3,18.4,18.5,0.0,7.4,65.4,0.0,0.0,0.0,0.0,0.0,4,13.0,1.1
"Madison Park, Raleigh, NC",0.037000000000000005,59,2.2,1.4,1.8,26.0,40.9,40.8,55078.0,861.0,44.4,45.0,26.6,32.6,10.2,29.9,0.4,22.9,16.6,0.0,5.5,78.1,0.0,0.0,0.0,0.0,0.0,0,12.0,1.4
"Madonna Acres, Raleigh, NC",0.027000000000000003,171,2.4,1.3,1.5,57.0,20.3,20.1,30398.0,556.0,29.6,67.7,1.7,48.2,1.6,6.6,1.0,60.5,27.5,0.0,10.8,93.1,0.0,0.0,0.0,0.0,0.0,13,9.0,1.3
"Magnolia Court, Raleigh, NC",0.008,18,2.1,1.2,2.2,9.0,59.9,57.1,99318.0,872.0,54.2,39.7,47.1,34.8,5.2,72.5,0.9,3.2,5.5,0.0,14.3,73.4,0.0,0.5,0.0,0.0,0.0,19,4.0,1.2
"Marlowe Court, Raleigh, NC",0.006999999999999999,9,2.4,1.6,2.2,4.0,49.3,51.7,99444.0,1486.0,30.1,65.8,36.5,41.4,3.4,65.0,0.6,12.6,13.3,0.0,5.4,56.7,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,19,4.0,1.6
"Meadow Hill Place, Raleigh, NC",0.004,10,2.7,2.5,2.2,5.0,43.1,37.8,113750.0,982.0,36.9,54.2,32.3,53.0,6.7,68.8,2.3,9.7,11.5,0.0,4.2,69.2,0.2,0.0,0.0,0.0,0.0,14,16.0,2.5
"Meadowbrook, Raleigh, NC",0.015,50,2.2,1.1,1.5,22.0,33.9,35.8,45493.0,674.0,37.6,55.3,21.0,50.4,5.9,27.5,1.2,21.2,16.3,0.0,24.5,79.1,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,8,15.0,1.1
"Meadowcreek, Raleigh, NC",0.027999999999999997,87,2.6,0.7,1.6,35.0,33.6,26.8,25982.0,610.0,28.8,64.2,5.3,36.5,6.4,14.4,0.5,20.4,27.4,1.3,32.4,67.5,0.0,0.0,0.0,0.0,0.0,13,9.0,0.7
"Middleton Place, Raleigh, NC",0.006,18,2.6,1.7,2.1,9.0,44.3,37.0,94000.0,745.0,39.7,52.0,40.1,50.0,7.1,59.7,1.1,12.5,18.4,0.0,1.2,59.7,0.0,0.0,0.0,0.0,0.0,2,7.0,1.7
"Milburnie Place, Raleigh, NC",0.006,11,2.4,1.6,1.7,5.0,33.2,36.9,40338.0,827.0,25.3,67.5,5.2,34.0,6.7,31.8,0.5,33.4,18.0,0.0,39.5,76.3,0.5,0.5,0.0,0.0,0.0,8,15.0,1.6
"Millbrook Estates, Raleigh, NC",0.04,67,1.9,0.4,1.7,29.0,62.8,45.3,51481.0,2295.0,38.7,47.6,39.8,19.4,12.7,35.7,1.0,7.5,14.3,4.6,7.1,80.0,0.0,0.25,0.0,0.0,0.0,9,17.0,0.4
"Millbrook Village, Raleigh, NC",0.009000000000000001,27,3.6,1.6,1.7,16.0,23.5,25.4,33648.0,717.0,27.1,36.2,6.1,60.3,35.8,17.2,0.9,24.5,31.0,21.7,14.1,87.3,0.0,0.0,0.0,0.0,0.1111111111111111,5,,1.6
"Millstream, Raleigh, NC",0.008,19,2.6,2.0,2.2,10.0,45.6,48.1,120112.0,1486.0,32.5,62.2,31.3,68.4,3.2,78.2,2.1,6.8,6.0,0.0,1.6,69.4,0.2,0.0,0.2,0.0,0.0,6,8.0,2.0
"Mine Valley, Raleigh, NC",0.174,387,2.1,1.2,2.2,197.0,59.9,57.1,99318.0,872.0,54.2,39.7,46.8,34.8,5.2,72.5,0.9,3.2,5.5,0.0,17.3,73.4,0.0,0.0,0.0,0.0625,0.0,19,4.0,1.2
"Monie Lane, Raleigh, NC",0.002,17,2.5,0.9,1.7,7.0,40.6,34.3,34036.0,595.0,28.8,64.2,14.5,36.3,6.4,23.9,0.5,19.1,24.2,0.0,24.8,70.5,0.0,0.0,0.0,0.0,0.0,5,,0.9
"Montague, Raleigh, NC",0.027000000000000003,16,2.3,1.7,1.8,8.0,40.8,36.0,53929.0,895.0,42.0,45.8,26.1,37.7,10.9,34.1,1.3,24.9,22.6,0.0,19.9,86.6,0.16666666666666666,0.0,0.0,0.0,0.0,0,12.0,1.7
"Montclair, Raleigh, NC",0.032,26,1.7,1.2,2.0,12.0,44.7,43.6,50573.0,762.0,58.9,36.7,20.7,40.2,2.8,38.3,1.6,20.3,14.2,0.0,40.1,81.5,0.0,0.0,0.0,0.0,0.0,9,17.0,1.2
"Mordecai, Raleigh, NC",0.282,818,8.8,1.2,1.8,360.0,30.4,34.9,49997.0,738.0,40.6,53.9,25.6,42.3,4.4,33.5,1.0,26.7,17.1,1.4,20.5,80.7,0.024390243902439025,0.0,0.0,0.04878048780487805,0.0,9,17.0,1.2
"Morgans Mill Townhomes, Raleigh, NC",0.003,1,1.0,1.6462395543175488,259.8,0.5,0.0,0.0,49125.0,678.0,1.7,10.7,13.2,89.4,85.3,25.1,4.1,22.5,66.1,0.8,0.0,1.2,0.0,0.0,0.0,0.0,0.3333333333333333,9,17.0,1.6462395543175488
"Mount Vernon (Westover), Raleigh, NC",0.128,100,2.1,1.5,2.1,53.0,30.9,28.7,62857.0,905.0,44.5,42.4,37.8,32.2,11.1,27.5,2.0,25.1,29.7,2.1,5.2,75.6,0.0,0.0,0.0,0.0,0.0,10,18.0,1.5
"Mountainbrook, Raleigh, NC",0.04,89,2.1,1.2,2.2,45.0,59.9,57.1,99318.0,872.0,54.2,39.7,47.2,34.8,5.2,72.5,0.9,3.2,5.5,0.0,14.3,73.4,0.0,0.0,0.2,0.0,0.0,19,4.0,1.2
"Mt Vernon Park, Raleigh, NC",0.025,20,2.1,1.5,2.1,10.0,30.9,28.7,62857.0,905.0,44.5,42.4,37.7,32.2,11.1,27.5,2.0,25.1,29.7,0.0,5.2,75.6,0.0,0.0,0.0,0.0,0.0,10,18.0,1.5
"Murraywood, Columbia, SC",7.865,6110,7.8,1.8,1.9,3055.0,37.8,40.4,81120.0,679.0,37.4,56.6,30.7,52.0,3.4,46.5,2.6,14.8,15.4,2.0,12.1,74.3,0.0,0.0,0.0,0.0,0.0,16,2.0,1.8
"Neuse Ridge, Raleigh, NC",0.177,24,4.1,1.8,2.4,11.0,41.7,45.8,57086.0,1099.0,23.9,53.7,14.1,61.8,19.3,39.9,3.1,20.9,19.5,25.0,18.5,73.1,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0,12.0,1.8
"Neuse Ridge, Raleigh, NC",0.177,24,4.1,1.8,2.4,11.0,41.7,45.8,57086.0,1099.0,23.9,53.7,14.1,61.8,19.3,39.9,3.1,20.9,19.5,25.0,18.5,73.1,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0,12.0,1.8
"Nine North, Raleigh, NC",0.006999999999999999,9,1.9,1.4,1.8,4.0,42.1,43.6,98654.0,1613.0,46.3,49.2,37.5,39.1,2.7,41.1,1.8,12.2,14.5,0.0,11.6,68.9,0.07692307692307693,0.0,0.0,0.07692307692307693,0.0,19,4.0,1.4
"North Bend, Raleigh, NC",0.094,185,1.9,1.0,1.7,85.0,47.5,39.3,72533.0,810.0,42.6,43.0,31.8,37.7,11.6,35.4,2.7,13.1,18.1,0.0,12.0,61.9,0.0,0.0,0.0,0.0,0.0,15,6.0,1.0
"North College Park, Raleigh, NC",0.071,25,2.3,1.1,1.6,11.0,37.8,36.2,54200.0,795.0,39.7,36.8,25.7,59.3,21.5,51.8,2.0,19.9,9.2,0.0,18.9,81.9,0.0,0.0,0.0,0.16666666666666666,0.0,0,12.0,1.1
"North Farms, Raleigh, NC",0.079,116,2.5,1.8,2.2,61.0,37.5,32.9,74803.0,928.0,34.4,38.8,39.7,63.2,26.8,60.8,0.0,8.8,17.3,15.5,19.7,90.6,0.0,0.0,0.0,0.0,0.0,4,13.0,1.8
"North Haven, Raleigh, NC",0.192,523,2.5,1.3,2.1,248.0,32.6,30.9,34719.0,693.0,30.5,43.2,23.7,60.2,25.0,40.0,1.3,17.8,17.6,8.9,11.1,84.7,0.0,0.0,0.0,0.0,0.125,5,,1.3
"North Hills Place, Raleigh, NC",0.006,4,1.7,1.2,2.0,2.0,44.7,43.6,50573.0,762.0,58.9,36.7,24.4,40.2,2.8,38.3,1.6,20.3,14.2,0.0,47.1,81.5,0.0,0.5,0.0,0.0,0.0,9,17.0,1.2
"North Hills, Raleigh, NC",0.762,1843,2.5,1.7,2.2,885.0,41.6,38.1,107345.0,1125.0,36.9,54.2,35.9,46.9,6.7,58.7,2.3,15.5,11.3,0.0,5.0,65.0,0.0,0.0,0.5,0.0,0.0,11,14.0,1.7
"North Park, Raleigh, NC",0.04,97,2.2,2.0,1.8,51.0,37.3,34.4,76516.0,740.0,54.2,39.7,33.5,49.9,5.2,44.3,0.9,13.0,20.1,1.1,12.8,76.3,0.0,0.0,0.0,0.0,0.0,4,13.0,2.0
"North Trail, Raleigh, NC",0.05,134,2.5,1.3,2.1,63.0,32.6,30.9,34719.0,693.0,30.5,43.2,23.8,60.2,25.0,40.0,1.3,17.8,17.6,7.4,11.2,84.7,0.0,0.0,0.0,0.0,0.0,5,,1.3
"North Valley, Raleigh, NC",0.021,51,2.6,1.8,1.9,20.0,35.9,36.5,95333.0,1383.0,46.2,43.3,33.6,57.8,10.1,58.2,0.4,15.8,9.2,0.0,5.1,85.0,0.0,0.0,0.0,0.0,0.0,2,7.0,1.8
"Northclift, Raleigh, NC",0.258,96,1.5,1.2,2.0,44.0,40.3,39.3,45567.0,687.0,58.9,36.7,20.5,40.2,2.8,38.3,1.6,20.3,14.2,1.0,39.6,81.5,0.25,0.25,0.0,0.0,0.0,8,15.0,1.2
"Northglen, Raleigh, NC",0.11199999999999999,447,2.0,2.0,1.8,231.0,50.6,38.0,76000.0,1185.0,46.3,49.2,35.1,50.6,2.7,61.5,1.8,9.6,14.4,0.2,3.5,74.2,0.0,0.0,0.0,0.0,0.0,4,13.0,2.0
"Northshore, Raleigh, NC",0.079,234,3.6,1.6,1.7,142.0,23.5,25.4,33648.0,717.0,27.1,36.2,6.0,60.3,35.8,17.2,0.9,24.5,31.0,28.7,13.9,87.3,0.25,0.0,0.0,0.0,0.0,5,,1.6
"Northwood Acres, Raleigh, NC",0.091,195,2.4,1.6,1.8,97.0,45.1,40.3,78003.0,1368.0,46.3,49.2,36.4,43.7,2.7,49.4,1.8,11.0,14.4,0.0,6.4,71.4,0.0,0.0,0.0,0.0,0.0,4,13.0,1.6
"Northwyck, Raleigh, NC",0.02,33,1.9,0.4,1.7,14.0,62.8,45.3,51481.0,2295.0,38.7,47.6,40.0,19.4,12.7,35.7,1.0,7.5,14.3,3.2,7.2,80.0,0.0,0.0,0.0,0.2222222222222222,0.0,9,17.0,0.4
"Nottingham Woods, Raleigh, NC",0.022000000000000002,62,2.5,1.3,2.0,34.0,48.9,34.3,35000.0,769.0,24.2,67.6,3.8,41.6,7.6,26.7,0.5,16.6,20.7,1.6,34.4,90.7,0.0,0.0,0.0,0.0,1.0,5,,1.3
"Nowell Pointe, Raleigh, NC",0.016,12,2.1,1.5,2.1,6.0,30.9,28.7,62857.0,905.0,44.5,42.4,39.9,32.2,11.1,27.5,2.0,25.1,29.7,0.0,5.5,75.6,0.0,0.3333333333333333,0.0,0.0,0.0,10,18.0,1.5
"Nowell Ridge, Raleigh, NC",0.012,9,2.1,1.5,2.1,5.0,30.9,28.7,62857.0,905.0,44.5,42.4,40.6,32.2,11.1,27.5,2.0,25.1,29.7,0.0,5.6,75.6,0.0,0.3333333333333333,0.0,0.0,0.0,10,18.0,1.5
"Oak Park, Raleigh, NC",0.34,32,0.1,1.5,2.2,15.0,1.5,1.5,4645.0,45.0,46.3,42.9,35.4,47.5,10.3,54.1,0.6,14.4,15.5,0.0,3.1,66.9,0.0,0.3333333333333333,0.0,0.0,0.0,3,11.0,1.5
"Oakview, Raleigh, NC",0.008,17,2.5,1.0,2.1,8.0,40.9,44.1,68036.0,698.0,30.7,45.0,27.9,50.1,22.7,55.5,1.6,15.3,19.2,0.0,3.3,56.1,0.25,0.0,0.0,0.0,0.0,15,6.0,1.0
"Oakwood, Raleigh, NC",0.27699999999999997,1540,5.9,0.8,1.7,735.0,28.5,30.9,37429.0,587.0,34.4,62.6,20.8,38.0,2.1,28.2,0.9,25.4,23.9,0.3,25.4,80.2,0.0,0.0,0.0,0.05263157894736842,0.0,5,,0.8
"Oberlin Village, Raleigh, NC",0.243,1337,2.1,1.5,1.9,507.0,30.4,32.3,68549.0,880.0,41.7,51.1,20.1,43.6,6.5,33.8,0.8,33.1,17.0,0.2,49.5,80.4,0.09090909090909093,0.0,0.0,0.09090909090909093,0.0,15,6.0,1.5
"Old English Downs, Raleigh, NC",0.033,72,2.1,1.2,2.2,36.0,59.9,57.1,99318.0,872.0,54.2,39.7,47.1,34.8,5.2,72.5,0.9,3.2,5.5,0.0,14.3,73.4,0.0,0.0,0.4,0.0,0.0,19,4.0,1.2
"Old Well at Summerfield, Raleigh, NC",0.011000000000000001,17,2.2,1.4,1.8,7.0,40.9,40.8,55078.0,861.0,44.4,45.0,26.9,32.6,10.2,29.9,0.4,22.9,16.6,0.0,5.5,78.1,0.0,0.5,0.0,0.0,0.0,0,12.0,1.4
"Olde Raleigh, Raleigh, NC",0.215,82,2.5,1.5,2.2,38.0,6.1,6.6,16443.0,219.0,46.3,42.9,34.9,47.3,10.3,53.8,0.6,14.5,15.5,0.5,3.2,66.8,0.0,1.0,0.0,0.0,0.0,17,0.0,1.5
"Olde Towne, Raleigh, NC",0.003,8,2.3,1.5,2.2,4.0,39.0,41.1,123293.0,1207.0,46.3,42.9,37.7,47.5,10.3,54.1,0.6,14.4,15.5,0.0,3.3,66.9,0.0,0.5,0.0,0.0,0.0,6,8.0,1.5
"Oxford Park, Raleigh, NC",0.08800000000000001,434,2.3,1.6,2.0,215.0,42.8,40.2,95193.0,811.0,37.8,57.2,38.8,59.6,3.8,65.7,1.2,10.9,10.6,0.3,2.8,86.8,0.5,0.0,0.0,0.0,0.0,2,7.0,1.6
"Pace Street, Raleigh, NC",0.003,7,2.5,1.6,1.7,3.0,40.5,39.8,50081.0,745.0,37.6,55.3,18.6,51.0,5.9,32.0,1.2,8.4,18.4,0.0,12.4,80.4,0.043478260869565216,0.0,0.0,0.043478260869565216,0.0,9,17.0,1.6
"Parker Townhomes, Raleigh, NC",0.002,7,1.9,1.4,1.5,3.0,47.3,38.1,57803.0,908.0,38.1,56.9,18.5,39.6,3.8,32.8,1.2,14.7,9.9,0.0,15.8,75.6,0.25,0.0,0.0,0.0,0.0,0,12.0,1.4
"Parliament Pointe at Greystone, Raleigh, NC",0.016,38,2.2,2.0,1.8,19.0,37.3,34.4,76516.0,740.0,54.2,39.7,33.2,49.9,5.2,44.3,0.9,13.0,20.1,0.0,12.7,76.3,0.0,0.0,0.0,0.0,0.0,4,13.0,2.0
"Peartree Lane, Raleigh, NC",0.006,10,2.6,1.2,2.8,5.0,26.8,27.2,28650.0,665.0,20.4,57.5,11.0,54.1,21.1,16.6,1.0,28.1,29.8,0.0,24.4,37.5,0.0,0.0,0.0,0.0,0.0,13,9.0,1.2
"Pecan Townes, Raleigh, NC",0.013000000000000001,23,1.9,0.4,1.7,9.0,62.8,45.3,51481.0,2295.0,38.7,47.6,39.4,19.4,12.7,35.7,1.0,7.5,14.3,0.0,7.1,80.0,0.0,0.0,0.0,0.0,0.13333333333333333,9,17.0,0.4
"Pepperdyne, Raleigh, NC",0.035,13,0.6,1.6,1.7,8.0,4.0,4.3,5664.0,121.0,27.1,36.2,6.3,60.3,35.8,17.2,0.9,24.5,31.0,25.0,14.6,87.3,0.5,0.0,0.0,0.0,0.0,3,11.0,1.6
"Peyton Hall, Raleigh, NC",0.003,1,1.0,1.6462395543175488,259.8,0.5,0.0,0.0,53929.0,895.0,1.8,10.9,24.9,31.4,86.6,22.6,1.7,42.0,45.8,1.3,0.0,5.5,0.0,0.0,0.0,0.5,0.0,0,12.0,1.6462395543175488
"Pine Ridge, Raleigh, NC",0.031,90,3.6,1.6,1.7,55.0,23.5,25.4,33648.0,717.0,27.1,36.2,6.0,60.3,35.8,17.2,0.9,24.5,31.0,25.6,13.9,87.3,0.03225806451612903,0.0,0.0,0.03225806451612903,0.0,5,,1.6
"Pinecrest, Raleigh, NC",0.065,169,4.2,1.0,2.0,82.0,58.3,51.1,68083.0,1021.0,29.8,48.2,25.9,49.1,20.6,53.4,1.4,15.9,19.7,2.4,4.6,57.0,0.0,0.0,0.5,0.0,0.0,15,6.0,1.0
"Pinecrest, Raleigh, NC",0.065,169,4.2,1.0,2.0,82.0,58.3,51.1,68083.0,1021.0,29.8,48.2,25.9,49.1,20.6,53.4,1.4,15.9,19.7,2.4,4.6,57.0,0.0,0.0,0.5,0.0,0.0,15,6.0,1.0
"Pinecrest, Raleigh, NC",0.065,169,4.2,1.0,2.0,82.0,58.3,51.1,68083.0,1021.0,29.8,48.2,25.9,49.1,20.6,53.4,1.4,15.9,19.7,2.4,4.6,57.0,0.0,0.0,0.5,0.0,0.0,15,6.0,1.0
"Pineview, Raleigh, NC",0.051,86,2.8,1.8,2.0,45.0,32.1,28.8,72538.0,777.0,37.0,39.4,23.1,47.3,21.8,52.3,1.8,14.1,23.6,3.7,8.7,75.5,0.0,0.0,0.0,0.0,0.0,15,6.0,1.8
"Plantation Road, Raleigh, NC",0.001,1,1.0,1.6462395543175488,259.8,0.5,0.0,0.0,52589.0,834.0,1.9,22.7,16.8,16.7,81.7,30.4,1.6,30.7,45.0,1.6,0.0,11.3,0.0,0.0,0.0,0.07692307692307693,0.0,0,12.0,1.6462395543175488
"Plymouth Court, Raleigh, NC",0.006,19,2.1,1.5,1.6,9.0,37.2,35.8,54432.0,774.0,25.3,67.5,31.1,38.4,6.7,30.0,0.5,25.9,16.5,0.0,14.1,56.3,1.0,0.0,0.0,0.0,0.0,0,12.0,1.5
"Ponderosa, Raleigh, NC",0.011000000000000001,161,2.4,1.2,2.3,74.0,47.9,49.7,81060.0,969.0,46.2,43.3,34.5,40.0,10.1,40.6,0.4,14.9,10.0,0.0,13.2,69.9,0.03225806451612903,0.0,0.0,0.03225806451612903,0.0,16,2.0,1.2
"Proctor, Raleigh, NC",0.001,1,1.0,1.6462395543175488,259.8,0.5,0.0,0.0,52589.0,834.0,1.9,22.7,16.8,16.7,81.7,30.4,1.6,30.7,45.0,1.6,0.0,11.3,0.0,0.0,0.0,0.08695652173913042,0.043478260869565216,0,12.0,1.6462395543175488
"Pullen Park Terrace, Raleigh, NC",0.01,17,2.0,1.1,2.1,9.0,29.7,31.2,46583.0,614.0,36.9,52.7,17.3,23.1,10.1,14.0,0.3,23.7,31.1,0.0,9.0,37.6,0.25,0.0,0.0,0.0,0.0,8,15.0,1.1
"Quail Forest, Raleigh, NC",0.006,10,1.9,0.4,1.7,4.0,62.8,45.3,51481.0,2295.0,38.7,47.6,41.4,19.4,12.7,35.7,1.0,7.5,14.3,0.0,7.4,80.0,0.0,0.0,0.0,0.0,0.125,9,17.0,0.4
"Quail Hollow, Raleigh, NC",0.257,379,2.4,1.7,1.9,198.0,40.9,36.6,63244.0,932.0,33.1,45.7,21.9,49.2,19.5,39.4,1.6,14.9,26.1,2.8,9.2,78.2,0.0,0.0,0.0,0.25,0.0,10,18.0,1.7
"Quail Meadows, Raleigh, NC",0.075,304,2.2,1.4,1.9,122.0,37.9,42.5,60913.0,976.0,42.6,43.0,30.3,47.5,11.6,44.0,2.7,19.7,15.9,0.0,13.0,72.0,0.0,0.0,0.0,0.07692307692307693,0.0,10,18.0,1.4
"Quail Pointe, Raleigh, NC",0.006999999999999999,27,2.6,2.0,1.8,14.0,46.2,39.1,70461.0,1186.0,46.3,49.2,36.1,50.6,2.7,61.5,1.8,9.6,14.3,0.0,3.6,74.2,0.0,0.5,0.0,0.0,0.0,15,6.0,2.0
"Quail Ridge, Raleigh, NC",0.016,27,1.9,0.4,1.7,11.0,62.8,45.3,51481.0,2295.0,38.7,47.6,39.3,19.4,12.7,35.7,1.0,7.5,14.3,0.0,7.1,80.0,0.0,0.5,0.0,0.0,0.0,9,17.0,0.4
"Quarry Pointe, Raleigh, NC",0.154,55,2.8,1.3,2.5,24.0,38.2,42.1,51613.0,704.0,27.1,64.5,32.1,57.8,7.8,49.2,0.6,14.7,15.5,0.0,4.1,88.4,0.0,0.0,0.0,0.0,0.0,9,17.0,1.3
"Ramblestone, Raleigh, NC",0.008,9,2.4,1.6,2.2,4.0,49.3,51.7,99444.0,1486.0,30.1,65.8,38.4,41.4,3.4,65.0,0.6,12.6,13.3,0.0,5.7,56.7,0.0,0.0,0.0,0.027027027027027032,0.0,19,4.0,1.6
"Ramblewood, Raleigh, NC",0.051,23,1.7,1.6,2.2,11.0,34.3,36.0,69157.0,1033.0,30.1,65.8,36.9,41.4,3.4,65.0,0.6,12.6,13.3,0.0,5.5,56.7,0.0,0.0,0.0,0.0,0.0,15,6.0,1.6
"Renaissance at Valley Stream, Raleigh, NC",0.006,1,2.3,1.1,1.6,0.0,37.8,36.2,54200.0,795.0,39.7,36.8,49.2,59.3,21.5,51.8,2.0,19.9,9.2,0.0,36.1,81.9,0.0,0.0,0.0,0.0,0.0,0,12.0,1.1
