Neighborhood,avg household size,med age females,med age males,pct families with children,pct married couple,pct never married females > 15,pct never married males > 15,pct single mother,med household income,med rent,pct units mortgage,Park,Pool,Trail,Pizza Place,Convenience Store
"Magnolia Court, Raleigh, NC",2.1,59.9,57.1,47.1,72.5,3.2,5.5,14.3,99318.0,872.0,73.4,0.0,0.5,0.0,0.0,0.0
"Marlowe Court, Raleigh, NC",2.4,49.3,51.7,36.5,65.0,12.6,13.3,5.4,99444.0,1486.0,56.7,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0
"Meadow Hill Place, Raleigh, NC",2.7,43.1,37.8,32.3,68.8,9.7,11.5,4.2,113750.0,982.0,69.2,0.2,0.0,0.0,0.0,0.0
"Meadowbrook, Raleigh, NC",2.2,33.9,35.8,21.0,27.5,21.2,16.3,24.5,45493.0,674.0,79.1,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285
"Meadowcreek, Raleigh, NC",2.6,33.6,26.8,5.3,14.4,20.4,27.4,32.4,25982.0,610.0,67.5,0.0,0.0,0.0,0.0,0.0
"Middleton Place, Raleigh, NC",2.6,44.3,37.0,40.1,59.7,12.5,18.4,1.2,94000.0,745.0,59.7,0.0,0.0,0.0,0.0,0.0
"Milburnie Place, Raleigh, NC",2.4,33.2,36.9,5.2,31.8,33.4,18.0,39.5,40338.0,827.0,76.3,0.5,0.5,0.0,0.0,0.0
"Millbrook Estates, Raleigh, NC",1.9,62.8,45.3,39.8,35.7,7.5,14.3,7.1,51481.0,2295.0,80.0,0.0,0.25,0.0,0.0,0.0
"Millbrook Village, Raleigh, NC",3.6,23.5,25.4,6.1,17.2,24.5,31.0,14.1,33648.0,717.0,87.3,0.0,0.0,0.0,0.0,0.1111111111111111
"Millstream, Raleigh, NC",2.6,45.6,48.1,31.3,78.2,6.8,6.0,1.6,120112.0,1486.0,69.4,0.2,0.0,0.2,0.0,0.0
"Mine Valley, Raleigh, NC",2.1,59.9,57.1,46.8,72.5,3.2,5.5,17.3,99318.0,872.0,73.4,0.0,0.0,0.0,0.0625,0.0
"Monie Lane, Raleigh, NC",2.5,40.6,34.3,14.5,23.9,19.1,24.2,24.8,34036.0,595.0,70.5,0.0,0.0,0.0,0.0,0.0
"Montague, Raleigh, NC",2.3,40.8,36.0,26.1,34.1,24.9,22.6,19.9,53929.0,895.0,86.6,0.16666666666666666,0.0,0.0,0.0,0.0
"Montclair, Raleigh, NC",1.7,44.7,43.6,20.7,38.3,20.3,14.2,40.1,50573.0,762.0,81.5,0.0,0.0,0.0,0.0,0.0
"Mordecai, Raleigh, NC",8.8,30.4,34.9,25.6,33.5,26.7,17.1,20.5,49997.0,738.0,80.7,0.024390243902439025,0.0,0.0,0.04878048780487805,0.0
"Morgans Mill Townhomes, Raleigh, NC",1.0,0.0,0.0,13.2,25.1,22.5,66.1,0.0,49125.0,678.0,1.2,0.0,0.0,0.0,0.0,0.3333333333333333
"Mount Vernon (Westover), Raleigh, NC",2.1,30.9,28.7,37.8,27.5,25.1,29.7,5.2,62857.0,905.0,75.6,0.0,0.0,0.0,0.0,0.0
"Mountainbrook, Raleigh, NC",2.1,59.9,57.1,47.2,72.5,3.2,5.5,14.3,99318.0,872.0,73.4,0.0,0.0,0.2,0.0,0.0
"Mt Vernon Park, Raleigh, NC",2.1,30.9,28.7,37.7,27.5,25.1,29.7,5.2,62857.0,905.0,75.6,0.0,0.0,0.0,0.0,0.0
